location,date,vaccine,total_vaccinations
Austria,08-01-21,Johnson&Johnson,0
Austria,08-01-21,Moderna,0
Austria,08-01-21,Oxford/AstraZeneca,0
Austria,08-01-21,Pfizer/BioNTech,31020
Austria,15-01-21,Johnson&Johnson,0
Austria,15-01-21,Moderna,90
Austria,15-01-21,Oxford/AstraZeneca,0
Austria,15-01-21,Pfizer/BioNTech,115720
Austria,22-01-21,Johnson&Johnson,0
Austria,22-01-21,Moderna,304
Austria,22-01-21,Oxford/AstraZeneca,0
Austria,22-01-21,Pfizer/BioNTech,213121
Austria,29-01-21,Johnson&Johnson,0
Austria,29-01-21,Moderna,4189
Austria,29-01-21,Oxford/AstraZeneca,0
Austria,29-01-21,Pfizer/BioNTech,257804
Austria,05-02-21,Johnson&Johnson,0
Austria,05-02-21,Moderna,5875
Austria,05-02-21,Oxford/AstraZeneca,2
Austria,05-02-21,Pfizer/BioNTech,353299
Austria,12-02-21,Johnson&Johnson,0
Austria,12-02-21,Moderna,9952
Austria,12-02-21,Oxford/AstraZeneca,10775
Austria,12-02-21,Pfizer/BioNTech,454713
Austria,19-02-21,Johnson&Johnson,0
Austria,19-02-21,Moderna,14072
Austria,19-02-21,Oxford/AstraZeneca,43527
Austria,19-02-21,Pfizer/BioNTech,520337
Austria,26-02-21,Johnson&Johnson,0
Austria,26-02-21,Moderna,22382
Austria,26-02-21,Oxford/AstraZeneca,101280
Austria,26-02-21,Pfizer/BioNTech,581404
Austria,05-03-21,Johnson&Johnson,0
Austria,05-03-21,Moderna,31671
Austria,05-03-21,Oxford/AstraZeneca,156080
Austria,05-03-21,Pfizer/BioNTech,685700
Austria,12-03-21,Johnson&Johnson,0
Austria,12-03-21,Moderna,47002
Austria,12-03-21,Oxford/AstraZeneca,234640
Austria,12-03-21,Pfizer/BioNTech,848278
Austria,19-03-21,Johnson&Johnson,14
Austria,19-03-21,Moderna,78740
Austria,19-03-21,Oxford/AstraZeneca,307819
Austria,19-03-21,Pfizer/BioNTech,980603
Austria,26-03-21,Johnson&Johnson,26
Austria,26-03-21,Moderna,104095
Austria,26-03-21,Oxford/AstraZeneca,383048
Austria,26-03-21,Pfizer/BioNTech,1126465
Austria,02-04-21,Johnson&Johnson,42
Austria,02-04-21,Moderna,140369
Austria,02-04-21,Oxford/AstraZeneca,421570
Austria,02-04-21,Pfizer/BioNTech,1274186
Austria,09-04-21,Johnson&Johnson,79
Austria,09-04-21,Moderna,179823
Austria,09-04-21,Oxford/AstraZeneca,511855
Austria,09-04-21,Pfizer/BioNTech,1494845
Austria,16-04-21,Johnson&Johnson,84
Austria,16-04-21,Moderna,222230
Austria,16-04-21,Oxford/AstraZeneca,607668
Austria,16-04-21,Pfizer/BioNTech,1727969
Austria,23-04-21,Johnson&Johnson,89
Austria,23-04-21,Moderna,259489
Austria,23-04-21,Oxford/AstraZeneca,656553
Austria,23-04-21,Pfizer/BioNTech,1990886
Austria,30-04-21,Johnson&Johnson,346
Austria,30-04-21,Moderna,298357
Austria,30-04-21,Oxford/AstraZeneca,698956
Austria,30-04-21,Pfizer/BioNTech,2263721
Austria,07-05-21,Johnson&Johnson,6461
Austria,07-05-21,Moderna,347497
Austria,07-05-21,Oxford/AstraZeneca,761871
Austria,07-05-21,Pfizer/BioNTech,2593371
Austria,14-05-21,Johnson&Johnson,13432
Austria,14-05-21,Moderna,397241
Austria,14-05-21,Oxford/AstraZeneca,825944
Austria,14-05-21,Pfizer/BioNTech,2892072
Austria,21-05-21,Johnson&Johnson,25667
Austria,21-05-21,Moderna,465043
Austria,21-05-21,Oxford/AstraZeneca,903432
Austria,21-05-21,Pfizer/BioNTech,3268778
Austria,28-05-21,Johnson&Johnson,37798
Austria,28-05-21,Moderna,518473
Austria,28-05-21,Oxford/AstraZeneca,986124
Austria,28-05-21,Pfizer/BioNTech,3602885
Austria,04-06-21,Johnson&Johnson,57766
Austria,04-06-21,Moderna,573645
Austria,04-06-21,Oxford/AstraZeneca,1054564
Austria,04-06-21,Pfizer/BioNTech,4026934
Austria,11-06-21,Johnson&Johnson,79301
Austria,11-06-21,Moderna,636369
Austria,11-06-21,Oxford/AstraZeneca,1149646
Austria,11-06-21,Pfizer/BioNTech,4463981
Austria,18-06-21,Johnson&Johnson,94169
Austria,18-06-21,Moderna,685809
Austria,18-06-21,Oxford/AstraZeneca,1201906
Austria,18-06-21,Pfizer/BioNTech,4916995
Austria,25-06-21,Johnson&Johnson,102662
Austria,25-06-21,Moderna,741323
Austria,25-06-21,Oxford/AstraZeneca,1275654
Austria,25-06-21,Pfizer/BioNTech,5359938
Austria,02-07-21,Johnson&Johnson,127926
Austria,02-07-21,Moderna,801121
Austria,02-07-21,Oxford/AstraZeneca,1383231
Austria,02-07-21,Pfizer/BioNTech,5749049
Austria,09-07-21,Johnson&Johnson,151797
Austria,09-07-21,Moderna,851196
Austria,09-07-21,Oxford/AstraZeneca,1450798
Austria,09-07-21,Pfizer/BioNTech,6074049
Austria,16-07-21,Johnson&Johnson,170904
Austria,16-07-21,Moderna,895366
Austria,16-07-21,Oxford/AstraZeneca,1502201
Austria,16-07-21,Pfizer/BioNTech,6343691
Austria,23-07-21,Johnson&Johnson,187129
Austria,23-07-21,Moderna,941491
Austria,23-07-21,Oxford/AstraZeneca,1531802
Austria,23-07-21,Pfizer/BioNTech,6588985
Austria,30-07-21,Johnson&Johnson,198845
Austria,30-07-21,Moderna,959985
Austria,30-07-21,Oxford/AstraZeneca,1558102
Austria,30-07-21,Pfizer/BioNTech,6795565
Austria,06-08-21,Johnson&Johnson,211849
Austria,06-08-21,Moderna,975804
Austria,06-08-21,Oxford/AstraZeneca,1572363
Austria,06-08-21,Pfizer/BioNTech,6948170
Belgium,08-01-21,Pfizer/BioNTech,27854
Belgium,15-01-21,Moderna,21
Belgium,15-01-21,Pfizer/BioNTech,126426
Belgium,22-01-21,Moderna,4469
Belgium,22-01-21,Pfizer/BioNTech,243931
Belgium,29-01-21,Moderna,6152
Belgium,29-01-21,Pfizer/BioNTech,333321
Belgium,05-02-21,Moderna,15840
Belgium,05-02-21,Oxford/AstraZeneca,0
Belgium,05-02-21,Pfizer/BioNTech,461948
Belgium,12-02-21,Moderna,25357
Belgium,12-02-21,Oxford/AstraZeneca,331
Belgium,12-02-21,Pfizer/BioNTech,597063
Belgium,19-02-21,Moderna,30126
Belgium,19-02-21,Oxford/AstraZeneca,10644
Belgium,19-02-21,Pfizer/BioNTech,697378
Belgium,26-02-21,Moderna,32556
Belgium,26-02-21,Oxford/AstraZeneca,45055
Belgium,26-02-21,Pfizer/BioNTech,785598
Belgium,05-03-21,Moderna,51279
Belgium,05-03-21,Oxford/AstraZeneca,109636
Belgium,05-03-21,Pfizer/BioNTech,874007
Belgium,12-03-21,Moderna,67104
Belgium,12-03-21,Oxford/AstraZeneca,190487
Belgium,12-03-21,Pfizer/BioNTech,970021
Belgium,19-03-21,Moderna,89503
Belgium,19-03-21,Oxford/AstraZeneca,350065
Belgium,19-03-21,Pfizer/BioNTech,1080012
Belgium,26-03-21,Moderna,99739
Belgium,26-03-21,Oxford/AstraZeneca,460456
Belgium,26-03-21,Pfizer/BioNTech,1275901
Belgium,02-04-21,Moderna,127438
Belgium,02-04-21,Oxford/AstraZeneca,520266
Belgium,02-04-21,Pfizer/BioNTech,1534031
Belgium,09-04-21,Moderna,174508
Belgium,09-04-21,Oxford/AstraZeneca,599689
Belgium,09-04-21,Pfizer/BioNTech,1851750
Belgium,16-04-21,Johnson&Johnson,0
Belgium,16-04-21,Moderna,208944
Belgium,16-04-21,Oxford/AstraZeneca,780397
Belgium,16-04-21,Pfizer/BioNTech,2128618
Belgium,23-04-21,Moderna,260132
Belgium,23-04-21,Oxford/AstraZeneca,837176
Belgium,23-04-21,Pfizer/BioNTech,2445156
Belgium,30-04-21,Johnson&Johnson,2944
Belgium,30-04-21,Moderna,287061
Belgium,30-04-21,Oxford/AstraZeneca,902481
Belgium,30-04-21,Pfizer/BioNTech,2800393
Belgium,07-05-21,Johnson&Johnson,23734
Belgium,07-05-21,Moderna,344713
Belgium,07-05-21,Oxford/AstraZeneca,1004987
Belgium,07-05-21,Pfizer/BioNTech,3351831
Belgium,14-05-21,Johnson&Johnson,29382
Belgium,14-05-21,Moderna,399060
Belgium,14-05-21,Oxford/AstraZeneca,1098369
Belgium,14-05-21,Pfizer/BioNTech,3802793
Belgium,21-05-21,Johnson&Johnson,49679
Belgium,21-05-21,Moderna,500686
Belgium,21-05-21,Oxford/AstraZeneca,1364959
Belgium,21-05-21,Pfizer/BioNTech,4171252
Belgium,28-05-21,Johnson&Johnson,73313
Belgium,28-05-21,Moderna,574945
Belgium,28-05-21,Oxford/AstraZeneca,1464598
Belgium,28-05-21,Pfizer/BioNTech,4612546
Belgium,04-06-21,Johnson&Johnson,97029
Belgium,04-06-21,Moderna,651065
Belgium,04-06-21,Oxford/AstraZeneca,1567695
Belgium,04-06-21,Pfizer/BioNTech,5310459
Belgium,11-06-21,Johnson&Johnson,142949
Belgium,11-06-21,Moderna,737271
Belgium,11-06-21,Oxford/AstraZeneca,1754444
Belgium,11-06-21,Pfizer/BioNTech,6063128
Belgium,18-06-21,Johnson&Johnson,212209
Belgium,18-06-21,Moderna,843440
Belgium,18-06-21,Oxford/AstraZeneca,1889134
Belgium,18-06-21,Pfizer/BioNTech,6775033
Belgium,25-06-21,Johnson&Johnson,243005
Belgium,25-06-21,Moderna,955892
Belgium,25-06-21,Oxford/AstraZeneca,1958012
Belgium,25-06-21,Pfizer/BioNTech,7433909
Belgium,02-07-21,Johnson&Johnson,266317
Belgium,02-07-21,Moderna,1039308
Belgium,02-07-21,Oxford/AstraZeneca,2057657
Belgium,02-07-21,Pfizer/BioNTech,7901262
Belgium,09-07-21,Johnson&Johnson,281237
Belgium,09-07-21,Moderna,1100720
Belgium,09-07-21,Oxford/AstraZeneca,2284449
Belgium,09-07-21,Pfizer/BioNTech,8433935
Belgium,16-07-21,Johnson&Johnson,298772
Belgium,16-07-21,Moderna,1155283
Belgium,16-07-21,Oxford/AstraZeneca,2438611
Belgium,16-07-21,Pfizer/BioNTech,8939682
Belgium,23-07-21,Johnson&Johnson,308690
Belgium,23-07-21,Moderna,1208596
Belgium,23-07-21,Oxford/AstraZeneca,2544670
Belgium,23-07-21,Pfizer/BioNTech,9490543
Belgium,30-07-21,Johnson&Johnson,316872
Belgium,30-07-21,Moderna,1239381
Belgium,30-07-21,Oxford/AstraZeneca,2634759
Belgium,30-07-21,Pfizer/BioNTech,9997588
Belgium,06-08-21,Johnson&Johnson,319928
Belgium,06-08-21,Moderna,1251731
Belgium,06-08-21,Oxford/AstraZeneca,2673762
Belgium,06-08-21,Pfizer/BioNTech,10145990
Bulgaria,01-01-21,Pfizer/BioNTech,0
Bulgaria,08-01-21,Moderna,0
Bulgaria,08-01-21,Pfizer/BioNTech,13473
Bulgaria,15-01-21,Moderna,491
Bulgaria,15-01-21,Pfizer/BioNTech,17962
Bulgaria,22-01-21,Moderna,843
Bulgaria,22-01-21,Pfizer/BioNTech,25300
Bulgaria,29-01-21,Moderna,1053
Bulgaria,29-01-21,Pfizer/BioNTech,40072
Bulgaria,05-02-21,Moderna,2207
Bulgaria,05-02-21,Oxford/AstraZeneca,10
Bulgaria,05-02-21,Pfizer/BioNTech,54821
Bulgaria,12-02-21,Moderna,3333
Bulgaria,12-02-21,Oxford/AstraZeneca,2035
Bulgaria,12-02-21,Pfizer/BioNTech,70020
Bulgaria,19-02-21,Moderna,6446
Bulgaria,19-02-21,Oxford/AstraZeneca,28947
Bulgaria,19-02-21,Pfizer/BioNTech,83960
Bulgaria,26-02-21,Moderna,10475
Bulgaria,26-02-21,Oxford/AstraZeneca,97630
Bulgaria,26-02-21,Pfizer/BioNTech,104340
Bulgaria,05-03-21,Moderna,14820
Bulgaria,05-03-21,Oxford/AstraZeneca,143932
Bulgaria,05-03-21,Pfizer/BioNTech,129880
Bulgaria,12-03-21,Moderna,16988
Bulgaria,12-03-21,Oxford/AstraZeneca,174209
Bulgaria,12-03-21,Pfizer/BioNTech,147683
Bulgaria,19-03-21,Moderna,20921
Bulgaria,19-03-21,Oxford/AstraZeneca,179029
Bulgaria,19-03-21,Pfizer/BioNTech,168956
Bulgaria,26-03-21,Moderna,34004
Bulgaria,26-03-21,Oxford/AstraZeneca,206835
Bulgaria,26-03-21,Pfizer/BioNTech,195704
Bulgaria,02-04-21,Moderna,44809
Bulgaria,02-04-21,Oxford/AstraZeneca,230180
Bulgaria,02-04-21,Pfizer/BioNTech,228583
Bulgaria,09-04-21,Moderna,59160
Bulgaria,09-04-21,Oxford/AstraZeneca,238387
Bulgaria,09-04-21,Pfizer/BioNTech,275118
Bulgaria,16-04-21,Johnson&Johnson,0
Bulgaria,16-04-21,Moderna,74318
Bulgaria,16-04-21,Oxford/AstraZeneca,241707
Bulgaria,16-04-21,Pfizer/BioNTech,322422
Bulgaria,23-04-21,Johnson&Johnson,0
Bulgaria,23-04-21,Moderna,93241
Bulgaria,23-04-21,Oxford/AstraZeneca,247383
Bulgaria,23-04-21,Pfizer/BioNTech,382650
Bulgaria,30-04-21,Johnson&Johnson,0
Bulgaria,30-04-21,Moderna,108865
Bulgaria,30-04-21,Oxford/AstraZeneca,263756
Bulgaria,30-04-21,Pfizer/BioNTech,452036
Bulgaria,07-05-21,Johnson&Johnson,0
Bulgaria,07-05-21,Moderna,122688
Bulgaria,07-05-21,Oxford/AstraZeneca,300451
Bulgaria,07-05-21,Pfizer/BioNTech,514960
Bulgaria,14-05-21,Johnson&Johnson,398
Bulgaria,14-05-21,Moderna,145571
Bulgaria,14-05-21,Oxford/AstraZeneca,364379
Bulgaria,14-05-21,Pfizer/BioNTech,606439
Bulgaria,21-05-21,Johnson&Johnson,2629
Bulgaria,21-05-21,Moderna,165767
Bulgaria,21-05-21,Oxford/AstraZeneca,401422
Bulgaria,21-05-21,Pfizer/BioNTech,690983
Bulgaria,28-05-21,Johnson&Johnson,6276
Bulgaria,28-05-21,Moderna,181502
Bulgaria,28-05-21,Oxford/AstraZeneca,411232
Bulgaria,28-05-21,Pfizer/BioNTech,754371
Bulgaria,04-06-21,Johnson&Johnson,11142
Bulgaria,04-06-21,Moderna,190457
Bulgaria,04-06-21,Oxford/AstraZeneca,435357
Bulgaria,04-06-21,Pfizer/BioNTech,827459
Bulgaria,11-06-21,Johnson&Johnson,17987
Bulgaria,11-06-21,Moderna,202784
Bulgaria,11-06-21,Oxford/AstraZeneca,457900
Bulgaria,11-06-21,Pfizer/BioNTech,898271
Bulgaria,18-06-21,Johnson&Johnson,25928
Bulgaria,18-06-21,Moderna,216421
Bulgaria,18-06-21,Oxford/AstraZeneca,467870
Bulgaria,18-06-21,Pfizer/BioNTech,949706
Bulgaria,25-06-21,Johnson&Johnson,33099
Bulgaria,25-06-21,Moderna,225728
Bulgaria,25-06-21,Oxford/AstraZeneca,470990
Bulgaria,25-06-21,Pfizer/BioNTech,997114
Bulgaria,02-07-21,Johnson&Johnson,39994
Bulgaria,02-07-21,Moderna,234047
Bulgaria,02-07-21,Oxford/AstraZeneca,472860
Bulgaria,02-07-21,Pfizer/BioNTech,1042927
Bulgaria,09-07-21,Johnson&Johnson,48424
Bulgaria,09-07-21,Moderna,241862
Bulgaria,09-07-21,Oxford/AstraZeneca,474021
Bulgaria,09-07-21,Pfizer/BioNTech,1086383
Bulgaria,16-07-21,Johnson&Johnson,58430
Bulgaria,16-07-21,Moderna,247955
Bulgaria,16-07-21,Oxford/AstraZeneca,474812
Bulgaria,16-07-21,Pfizer/BioNTech,1127926
Bulgaria,23-07-21,Johnson&Johnson,68108
Bulgaria,23-07-21,Moderna,252761
Bulgaria,23-07-21,Oxford/AstraZeneca,475720
Bulgaria,23-07-21,Pfizer/BioNTech,1167720
Bulgaria,30-07-21,Johnson&Johnson,78440
Bulgaria,30-07-21,Moderna,258066
Bulgaria,30-07-21,Oxford/AstraZeneca,476371
Bulgaria,30-07-21,Pfizer/BioNTech,1212406
Bulgaria,06-08-21,Johnson&Johnson,88846
Bulgaria,06-08-21,Moderna,258066
Bulgaria,06-08-21,Oxford/AstraZeneca,476371
Bulgaria,06-08-21,Pfizer/BioNTech,1212406
Chile,24-12-20,Pfizer/BioNTech,420
Chile,25-12-20,Pfizer/BioNTech,5198
Chile,26-12-20,Pfizer/BioNTech,8341
Chile,27-12-20,Pfizer/BioNTech,8652
Chile,28-12-20,Pfizer/BioNTech,8652
Chile,29-12-20,Pfizer/BioNTech,8652
Chile,30-12-20,Pfizer/BioNTech,8652
Chile,31-12-20,Pfizer/BioNTech,8652
Chile,01-01-21,Pfizer/BioNTech,8652
Chile,02-01-21,Pfizer/BioNTech,8652
Chile,03-01-21,Pfizer/BioNTech,8652
Chile,04-01-21,Pfizer/BioNTech,9057
Chile,05-01-21,Pfizer/BioNTech,10500
Chile,06-01-21,Pfizer/BioNTech,10705
Chile,07-01-21,Pfizer/BioNTech,10705
Chile,08-01-21,Pfizer/BioNTech,10705
Chile,09-01-21,Pfizer/BioNTech,10705
Chile,10-01-21,Pfizer/BioNTech,10705
Chile,11-01-21,Pfizer/BioNTech,10705
Chile,12-01-21,Pfizer/BioNTech,10705
Chile,13-01-21,Pfizer/BioNTech,11738
Chile,14-01-21,Pfizer/BioNTech,18653
Chile,15-01-21,Pfizer/BioNTech,22084
Chile,16-01-21,Pfizer/BioNTech,22174
Chile,17-01-21,Pfizer/BioNTech,22174
Chile,18-01-21,Pfizer/BioNTech,33225
Chile,19-01-21,Pfizer/BioNTech,52586
Chile,20-01-21,Pfizer/BioNTech,61895
Chile,21-01-21,Pfizer/BioNTech,64952
Chile,22-01-21,Pfizer/BioNTech,65365
Chile,23-01-21,Pfizer/BioNTech,65365
Chile,24-01-21,Pfizer/BioNTech,65365
Chile,25-01-21,Pfizer/BioNTech,66785
Chile,26-01-21,Pfizer/BioNTech,67401
Chile,27-01-21,Pfizer/BioNTech,67436
Chile,28-01-21,Pfizer/BioNTech,67436
Chile,29-01-21,Pfizer/BioNTech,67441
Chile,30-01-21,Pfizer/BioNTech,67442
Chile,31-01-21,Pfizer/BioNTech,67442
Chile,01-02-21,Pfizer/BioNTech,67442
Chile,02-02-21,Pfizer/BioNTech,67449
Chile,02-02-21,Sinovac,13183
Chile,03-02-21,Pfizer/BioNTech,67449
Chile,03-02-21,Sinovac,183550
Chile,04-02-21,Pfizer/BioNTech,69577
Chile,04-02-21,Sinovac,357554
Chile,05-02-21,Pfizer/BioNTech,70265
Chile,05-02-21,Sinovac,526281
Chile,06-02-21,Pfizer/BioNTech,70270
Chile,06-02-21,Sinovac,554131
Chile,07-02-21,Pfizer/BioNTech,70272
Chile,07-02-21,Sinovac,562768
Chile,08-02-21,Pfizer/BioNTech,82071
Chile,08-02-21,Sinovac,784234
Chile,09-02-21,Pfizer/BioNTech,101550
Chile,09-02-21,Sinovac,1026609
Chile,10-02-21,Pfizer/BioNTech,109994
Chile,10-02-21,Sinovac,1298935
Chile,11-02-21,Pfizer/BioNTech,113067
Chile,11-02-21,Sinovac,1550110
Chile,12-02-21,Pfizer/BioNTech,113427
Chile,12-02-21,Sinovac,1779206
Chile,13-02-21,Pfizer/BioNTech,113460
Chile,13-02-21,Sinovac,1808727
Chile,14-02-21,Pfizer/BioNTech,113460
Chile,14-02-21,Sinovac,1813194
Chile,15-02-21,Pfizer/BioNTech,113461
Chile,15-02-21,Sinovac,2079061
Chile,16-02-21,Pfizer/BioNTech,113473
Chile,16-02-21,Sinovac,2299096
Chile,17-02-21,Pfizer/BioNTech,113473
Chile,17-02-21,Sinovac,2487139
Chile,18-02-21,Pfizer/BioNTech,113476
Chile,18-02-21,Sinovac,2642399
Chile,19-02-21,Pfizer/BioNTech,113476
Chile,19-02-21,Sinovac,2784523
Chile,20-02-21,Pfizer/BioNTech,113478
Chile,20-02-21,Sinovac,2794163
Chile,21-02-21,Pfizer/BioNTech,113478
Chile,21-02-21,Sinovac,2795325
Chile,22-02-21,Pfizer/BioNTech,125571
Chile,22-02-21,Sinovac,2891361
Chile,23-02-21,Pfizer/BioNTech,150416
Chile,23-02-21,Sinovac,2960757
Chile,24-02-21,Pfizer/BioNTech,178936
Chile,24-02-21,Sinovac,3018513
Chile,25-02-21,Pfizer/BioNTech,212653
Chile,25-02-21,Sinovac,3070875
Chile,26-02-21,Pfizer/BioNTech,242385
Chile,26-02-21,Sinovac,3119536
Chile,27-02-21,Pfizer/BioNTech,248710
Chile,27-02-21,Sinovac,3123258
Chile,28-02-21,Pfizer/BioNTech,248712
Chile,28-02-21,Sinovac,3123611
Chile,01-03-21,Pfizer/BioNTech,263617
Chile,01-03-21,Sinovac,3246269
Chile,02-03-21,Pfizer/BioNTech,294540
Chile,02-03-21,Sinovac,3386722
Chile,03-03-21,Pfizer/BioNTech,313108
Chile,03-03-21,Sinovac,3680065
Chile,04-03-21,Pfizer/BioNTech,322217
Chile,04-03-21,Sinovac,3981524
Chile,05-03-21,Pfizer/BioNTech,327972
Chile,05-03-21,Sinovac,4273616
Chile,06-03-21,Pfizer/BioNTech,328316
Chile,06-03-21,Sinovac,4307052
Chile,07-03-21,Pfizer/BioNTech,328422
Chile,07-03-21,Sinovac,4314909
Chile,08-03-21,Pfizer/BioNTech,341023
Chile,08-03-21,Sinovac,4652941
Chile,09-03-21,Pfizer/BioNTech,378606
Chile,09-03-21,Sinovac,4991895
Chile,10-03-21,Pfizer/BioNTech,420216
Chile,10-03-21,Sinovac,5351652
Chile,11-03-21,Pfizer/BioNTech,465961
Chile,11-03-21,Sinovac,5722973
Chile,12-03-21,Pfizer/BioNTech,483372
Chile,12-03-21,Sinovac,6079913
Chile,13-03-21,Pfizer/BioNTech,483925
Chile,13-03-21,Sinovac,6129812
Chile,14-03-21,Pfizer/BioNTech,483925
Chile,14-03-21,Sinovac,6136396
Chile,15-03-21,Pfizer/BioNTech,507840
Chile,15-03-21,Sinovac,6542772
Chile,16-03-21,Pfizer/BioNTech,561379
Chile,16-03-21,Sinovac,6899462
Chile,17-03-21,Pfizer/BioNTech,616912
Chile,17-03-21,Sinovac,7211260
Chile,18-03-21,Pfizer/BioNTech,666512
Chile,18-03-21,Sinovac,7496597
Chile,19-03-21,Pfizer/BioNTech,689683
Chile,19-03-21,Sinovac,7767975
Chile,20-03-21,Pfizer/BioNTech,691603
Chile,20-03-21,Sinovac,7800249
Chile,21-03-21,Pfizer/BioNTech,691613
Chile,21-03-21,Sinovac,7804262
Chile,22-03-21,Pfizer/BioNTech,727703
Chile,22-03-21,Sinovac,8036924
Chile,23-03-21,Pfizer/BioNTech,787625
Chile,23-03-21,Sinovac,8217867
Chile,24-03-21,Pfizer/BioNTech,840528
Chile,24-03-21,Sinovac,8384056
Chile,25-03-21,Pfizer/BioNTech,895126
Chile,25-03-21,Sinovac,8542147
Chile,26-03-21,Pfizer/BioNTech,933564
Chile,26-03-21,Sinovac,8721393
Chile,27-03-21,Pfizer/BioNTech,935599
Chile,27-03-21,Sinovac,8735048
Chile,28-03-21,Pfizer/BioNTech,935599
Chile,28-03-21,Sinovac,8736440
Chile,29-03-21,Pfizer/BioNTech,957646
Chile,29-03-21,Sinovac,8981153
Chile,30-03-21,Pfizer/BioNTech,1015139
Chile,30-03-21,Sinovac,9202317
Chile,31-03-21,Pfizer/BioNTech,1061315
Chile,31-03-21,Sinovac,9436459
Chile,01-04-21,Pfizer/BioNTech,1085107
Chile,01-04-21,Sinovac,9716003
Chile,02-04-21,Pfizer/BioNTech,1085332
Chile,02-04-21,Sinovac,9722811
Chile,03-04-21,Pfizer/BioNTech,1085525
Chile,03-04-21,Sinovac,9725844
Chile,04-04-21,Pfizer/BioNTech,1085527
Chile,04-04-21,Sinovac,9726961
Chile,05-04-21,Pfizer/BioNTech,1116673
Chile,05-04-21,Sinovac,9980608
Chile,06-04-21,Pfizer/BioNTech,1199467
Chile,06-04-21,Sinovac,10137603
Chile,07-04-21,Pfizer/BioNTech,1288755
Chile,07-04-21,Sinovac,10281611
Chile,08-04-21,Pfizer/BioNTech,1367027
Chile,08-04-21,Sinovac,10442876
Chile,09-04-21,Pfizer/BioNTech,1416281
Chile,09-04-21,Sinovac,10612578
Chile,10-04-21,Pfizer/BioNTech,1424111
Chile,10-04-21,Sinovac,10630776
Chile,11-04-21,Pfizer/BioNTech,1424617
Chile,11-04-21,Sinovac,10632723
Chile,12-04-21,Pfizer/BioNTech,1489403
Chile,12-04-21,Sinovac,10804918
Chile,13-04-21,Pfizer/BioNTech,1577627
Chile,13-04-21,Sinovac,10952011
Chile,14-04-21,Pfizer/BioNTech,1667147
Chile,14-04-21,Sinovac,11091973
Chile,15-04-21,Pfizer/BioNTech,1735159
Chile,15-04-21,Sinovac,11231129
Chile,16-04-21,Pfizer/BioNTech,1785908
Chile,16-04-21,Sinovac,11374568
Chile,17-04-21,Pfizer/BioNTech,1791835
Chile,17-04-21,Sinovac,11390923
Chile,18-04-21,Pfizer/BioNTech,1792512
Chile,18-04-21,Sinovac,11392884
Chile,19-04-21,Pfizer/BioNTech,1816567
Chile,19-04-21,Sinovac,11563766
Chile,20-04-21,Pfizer/BioNTech,1861035
Chile,20-04-21,Sinovac,11708605
Chile,21-04-21,Pfizer/BioNTech,1907098
Chile,21-04-21,Sinovac,11840112
Chile,22-04-21,Pfizer/BioNTech,1954215
Chile,22-04-21,Sinovac,11993701
Chile,23-04-21,Pfizer/BioNTech,1983198
Chile,23-04-21,Sinovac,12148336
Chile,24-04-21,Pfizer/BioNTech,1985594
Chile,24-04-21,Sinovac,12163621
Chile,25-04-21,Pfizer/BioNTech,1985595
Chile,25-04-21,Sinovac,12164661
Chile,26-04-21,Pfizer/BioNTech,2030966
Chile,26-04-21,Sinovac,12315967
Chile,27-04-21,Pfizer/BioNTech,2094842
Chile,27-04-21,Sinovac,12423602
Chile,28-04-21,Oxford/AstraZeneca,1569
Chile,28-04-21,Pfizer/BioNTech,2151740
Chile,28-04-21,Sinovac,12534275
Chile,29-04-21,Oxford/AstraZeneca,4653
Chile,29-04-21,Pfizer/BioNTech,2187762
Chile,29-04-21,Sinovac,12650550
Chile,30-04-21,Oxford/AstraZeneca,15981
Chile,30-04-21,Pfizer/BioNTech,2221207
Chile,30-04-21,Sinovac,12693632
Chile,01-05-21,Oxford/AstraZeneca,16170
Chile,01-05-21,Pfizer/BioNTech,2222480
Chile,01-05-21,Sinovac,12694469
Chile,02-05-21,Oxford/AstraZeneca,16283
Chile,02-05-21,Pfizer/BioNTech,2222941
Chile,02-05-21,Sinovac,12695360
Chile,03-05-21,Oxford/AstraZeneca,30556
Chile,03-05-21,Pfizer/BioNTech,2252657
Chile,03-05-21,Sinovac,12803189
Chile,04-05-21,Oxford/AstraZeneca,43729
Chile,04-05-21,Pfizer/BioNTech,2302409
Chile,04-05-21,Sinovac,12909914
Chile,05-05-21,Oxford/AstraZeneca,52142
Chile,05-05-21,Pfizer/BioNTech,2352358
Chile,05-05-21,Sinovac,13026642
Chile,06-05-21,Oxford/AstraZeneca,58980
Chile,06-05-21,Pfizer/BioNTech,2393600
Chile,06-05-21,Sinovac,13136780
Chile,07-05-21,Oxford/AstraZeneca,62917
Chile,07-05-21,Pfizer/BioNTech,2427810
Chile,07-05-21,Sinovac,13246579
Chile,08-05-21,Oxford/AstraZeneca,63527
Chile,08-05-21,Pfizer/BioNTech,2433609
Chile,08-05-21,Sinovac,13265761
Chile,09-05-21,Oxford/AstraZeneca,63594
Chile,09-05-21,Pfizer/BioNTech,2433677
Chile,09-05-21,Sinovac,13267030
Chile,10-05-21,Oxford/AstraZeneca,66450
Chile,10-05-21,Pfizer/BioNTech,2473268
Chile,10-05-21,Sinovac,13398259
Chile,11-05-21,Oxford/AstraZeneca,68392
